"label","message"
"spam","USPS: We attempted delivery of your package. No one was home. Schedule redelivery: http://usps-redeliver.xyz/pkg/44521"
"spam","Your Flipkart order #FK123987 is held at sorting facility due to address mismatch. Update: http://fk-address.xyz"
"spam","Aramex: Your international shipment requires customs clearance payment of Rs.875. Pay here: http://aramex-customs.net"
"spam","Alert: Your package from China is held at Delhi customs. Pay Rs.499 processing fee to release: http://customs-india.xyz"
"spam","Ekart: Delivery attempted but failed. Rs.50 reattempt fee required. Pay at: http://ekart-fee.xyz before your parcel is returned."
"spam","TNT Express: Shipment tracking shows your parcel requires recipient ID verification. Upload documents: http://tnt-verify.xyz"
"spam","Your Amazon parcel worth Rs.4,500 will be returned to sender if Rs.99 redelivery fee is not paid. Pay: http://amzn-fee.xyz"
"spam","Parcel notification: Item awaiting collection at nearest Delhivery hub. Bring tracking ID or click: http://delhivery-hub.xyz"
"spam","Speedpost: Your registered article RE4456712IN failed delivery. Contact 9988001122 or visit http://speedpost-redeliver.xyz"
"spam","XpressBees: Your consignment is on hold. Customs declared value mismatch detected. Resolve: http://xpressbees-customs.xyz"
"spam","Important: Package RX229847EU requires Rs.299 customs duty payment before release. Pay: http://pkg-customs.net"
"spam","Your Myntra order could not be delivered due to address issues. Retry delivery by paying Rs.49: http://myntra-redeliver.xyz"
"spam","DTDC: Your courier is ready for delivery but requires a one-time address verification: http://dtdc-verify.xyz"
"spam","UPS Global: A package requiring your signature has arrived. Confirm delivery address at: http://ups-signature.xyz"
"spam","Aapka parcel 3 din se warehouse mein hai. Rs.200 ka storage charge lagega. Abhi pay karein: http://parcel-store.xyz"
"spam","Your gift shipment from abroad is stuck at Mumbai airport customs. Pay Rs.699 online to release: http://customs-release.xyz"
"spam","Delivery FAILED for Order #99823. Confirm your phone number and address at: http://delivery-confirm.net to reschedule."
"spam","Porter Express: Your parcel is at our depot. Security deposit of Rs.150 required to collect. Details: http://porter-depot.xyz"
"spam","INCOME TAX DEPARTMENT: An arrest warrant has been issued in your name for tax evasion of Rs.2,45,000. Call immediately: 011-45221100"
"spam","IRS FINAL NOTICE: You owe $2,345 in back taxes. Failure to pay will result in immediate arrest. Call 800-555-9900 now."
"spam","Legal Notice: A case has been filed against your PAN card for suspicious transactions. Respond within 24 hours: 9876543210"
"spam","CBDT Alert: Your ITR for AY 2023-24 shows discrepancies. You must appear before an officer. Contact: income-tax-notice@gov-in.xyz"
"spam","CBI Notice: Your name appears in a money laundering case. Contact the officer immediately to avoid arrest: 9988776600"
"spam","ED Department: Your bank transactions have been flagged. Accounts will be frozen unless you cooperate. Call: 011-23456789"
"spam","GST Department: Your GSTIN has been suspended for non-filing. Pay penalty of Rs.15,000 or face prosecution: http://gst-notice.xyz"
"spam","NOTICE: Your Aadhaar has been linked to a fraud network. Report to Cyber Crime by calling 1930 or face FIR registration."
"spam","Court Summons: You are required to appear in Delhi High Court on 15th for a civil case filed against you. PAN: ABCDE1234F"
"spam","Income Tax Officer: Demand notice issued for Rs.78,000 tax arrears. Pay immediately or your property will be seized: 9876001234"
"spam","LEGAL ALERT: You have an outstanding tax liability. Non-payment will result in passport cancellation and travel ban. Call: 9090001100"
"spam","Customs Department: Illegal goods detected in your name at Delhi port. Clear by paying Rs.5,000 now or face FIR: 9988550011"
"spam","Tax Evasion Notice: A warrant is being processed for your address. Cooperate now by visiting: http://taxcourt-india.xyz"
"spam","Your PAN card has been flagged for suspicious activity. Income Tax Department will seize assets in 24 hours unless resolved."
"spam","FIR has been registered against you under IT Act. Your bank account will be frozen. Call us immediately: 8900112233"
"spam","Aapke PAN number par ek case darj kiya gaya hai. Girftaari se bachne ke liye turant sampark karein: 9900112200"
"spam","NOTICE from National Investigation Agency: You are under surveillance for financial crimes. Cooperate at: 9876001122"
"spam","Your company has been blacklisted by SEBI for insider trading. Respond to avoid penalty and criminal prosecution: 022-33445566"
"spam","Electricity bill fraud detected in your name. Legal proceedings begin in 48 hours unless you pay Rs.8,500: 9955442200"
"spam","TRAI Legal Division: Illegal use of your SIM card detected. SIM will be permanently blocked and FIR filed unless verified: 9090909090"
"spam","NOTICE: A case has been filed against you for unpaid dues of Rs.1,85,000. Contact the court clerk: 9811223300 to avoid warrant."
"spam","Cybercrime department has evidence of illegal transactions from your account. You have 2 hours to cooperate: 9876543200"
"spam","IRS: Your social security number has been suspended due to suspicious activity. Call immediately to restore: 1-800-999-5555"
"spam","Income Tax Refund pending: Rs.18,450 is ready but your account needs verification. Call: 9090001234 or visit IT office."
"spam","COURT NOTICE: Failure to appear in session court on Monday will result in non-bailable warrant. Case no: IPC/2024/4521"
"spam","Work from home and earn Rs.15,000 per week! No experience needed. Just register at: http://earn-home.xyz"
"spam","Exciting job offer! Data entry work from home. Rs.500 per hour. Registration fee: Rs.299. Apply: http://dataentry-jobs.xyz"
"spam","EARN Rs.5,000 PER DAY by liking YouTube videos! Only 2 hours of work daily. Join our team: http://yt-earn.xyz"
"spam","Part time job: Copy paste work from home. Rs.800-1500 per day. Free training provided. Register now: 9876543211"
"spam","Amazon is hiring home-based product testers! Earn Rs.40,000/month from home. Apply at: http://amazon-tester.xyz"
"spam","Congratulations! You have been selected for a remote job at Google India. Salary Rs.2.5 LPA. Pay Rs.999 for training kit."
"spam","Click ads and earn Rs.200 per click! Work just 2 hours daily from your phone. Join: http://click-earn.xyz"
"spam","Ghar baithe kamao Rs.1000-2000 rojana! Sirf WhatsApp use karke. Join our group: http://whatsapp-earn.xyz"
"spam","Typing work available: 1000 words = Rs.600. Work from home with flexible hours. WhatsApp 9988001122 for details."
"spam","BIG OPPORTUNITY: Earn $500/week from home by completing simple surveys. Register free: http://survey-cash.xyz"
"spam","Abroad job offer! Dubai/Qatar/Singapore. Monthly salary Rs.1.5 Lakh. Apply now - limited seats: http://gulf-jobs.xyz"
"spam","Netflix is hiring WFH content reviewers! Pay: Rs.35,000/month. No experience needed. Join: http://netflix-jobs.xyz"
"spam","Online teaching job: Teach English to foreign students. Earn Rs.25,000 per month from home. Register: http://teach-earn.xyz"
"spam","Social media manager needed - WFH. Rs.20,000/month. Tasks: like, share, post content. No experience. Apply: 9876000112"
"spam","Earn money by testing apps on your phone! Rs.300-500 per app. Join our beta testers group: http://apptester-earn.xyz"
"spam","Freelance project available: Logo design. Rs.5,000 per project, 3 hours work. Pay Rs.499 registration to start."
"spam","Earn Rs.50,000 per month without leaving home! Join our MLM network. Investment: Rs.2,000. Call: 9090909090"
"spam","URGENT VACANCY: 500 work from home positions. Govt-backed project. Apply before 31st: http://wfh-govt.xyz"
"spam","Packaging work from home: Earn Rs.10,000 per week. Kit will be delivered to your address. Register: http://pkg-work.xyz"
"spam","IT fresher needed for remote project. Salary Rs.30,000. Deposit Rs.2,000 for laptop insurance. Join: http://it-remote.xyz"
"spam","Aapko ghar se kaam karne ka mauka! Sirf 1 ghante mein Rs.1000 kamao. Abhi join karein: http://ghar-kaam.xyz"
"spam","YouTube channel management job. Earn Rs.15,000 monthly. We create content, you upload. Registration fee Rs.500. Call: 9922334455"
"spam","Earn through affiliate marketing! No investment needed. Rs.10,000-50,000 monthly. Training provided. WhatsApp: 9800001122"
"spam","ALERT: 100 work-from-home positions at MNC. Immediate joining. Pay Rs.1,500 background check fee to proceed."
"spam","Online reselling job! Sell products via WhatsApp and earn 20-30% commission. Start with Rs.1,000: http://resell-earn.xyz"
"spam","INSTANT LOAN APPROVED! Rs.5 Lakh in 30 minutes. No documents needed. Apply now: http://instant-loan.xyz"
"spam","Crypto investment opportunity! Guaranteed 300% returns in 30 days. Invest Rs.5,000 and earn Rs.15,000: http://crypto-sure.xyz"
"spam","Personal loan approved for you! Rs.2 Lakh at 0% interest for 6 months. Claim before offer expires: 9876543212"
"spam","Earn 15% monthly returns on your investment! Safe and guaranteed. Minimum investment Rs.10,000. Call: 9090001100"
"spam","Pre-approved home loan Rs.40 Lakh at lowest rate 6.5%. Zero processing fee. Apply: http://homeloan-easy.xyz"
"spam","Bitcoin trading bot gives 200% daily profit! Invest Rs.2,000 now and double it by tomorrow: http://btc-profit.xyz"
"spam","Bad CIBIL? No problem! We provide loans without credit check. Rs.50,000-5 Lakh available. Call: 9988776600"
"spam","Government subsidy loan scheme: Rs.3 Lakh at 2% interest for small businesses. Apply by month end: http://msme-loan.xyz"
"spam","Stock market tips with 99% accuracy! Subscribe to our premium service Rs.2,000/month and triple your income: 9876001234"
"spam","Mutual fund with locked 25% annual return. Zero risk, fully guaranteed. Invest Rs.50,000 minimum: http://mf-guarantee.xyz"
"spam","FOREX trading: Rs.1,000 investment = Rs.5,000 profit per week. Join our expert traders group: http://forex-sure.xyz"
"spam","Aapka loan turant approve! Sirf Aadhaar card chahiye. Rs.1-10 Lakh. Bina office jaye. Apply: http://loan-aadhar.xyz"
"spam","MLM investment plan: Invest Rs.5,000, earn Rs.50,000 per month. Unlimited income potential. Join: 9922334455"
"spam","Gold loan at 1% interest! Bring your gold and get cash in 10 minutes. No paperwork required. Call: 9988001122"
"spam","Chit fund opportunity with 40% annual growth! Join 1000 happy investors. Minimum Rs.5,000: http://chitfund-profit.xyz"
"spam","Education loan instantly approved even with poor CIBIL. Rs.10 Lakh in 1 hour. Call now: 9900112233"
"spam","We clear your CIBIL score and arrange loan within 48 hours. Fee: Rs.3,000. Guaranteed results: 9811223300"
"spam","SIP alternative: Invest Rs.1,000 weekly and earn Rs.1 Lakh in 6 months. Zero risk. Learn more: http://sip-alt.xyz"
"spam","Agricultural loan Rs.5 Lakh at 0% interest for farmers under PM scheme. Apply now: http://kisan-loan.xyz"
"spam","Crypto signals group: 90% accurate calls every day. Rs.5,000 per month. Earn 10x your investment: 9876000011"
"spam","Aaj hi apna pehla investment karein! Rs.500 se shuru karein aur mahine mein Rs.10,000 kamao: http://invest-now.xyz"
"spam","Emergency loan Rs.20,000 in 15 minutes! WhatsApp your Aadhaar and bank details to: 9988776600"
"spam","NFT investment boom! Buy our NFT package for Rs.10,000 and earn Rs.1 Lakh in 3 months: http://nft-profit.xyz"
"spam","Guaranteed income scheme: Deposit Rs.1 Lakh and receive Rs.5,000 monthly for 5 years. Safe and legal: 9090001234"
"spam","Fixed deposit alternative: 18% annual return! Invest Rs.25,000-5 Lakh. NBFC registered. Call: 022-33445566"
"spam","Hi! I am Priya, 24 years old from Mumbai. Looking for friendship and fun. Chat with me: http://chat-priya.xyz"
"spam","Hot singles in your area are waiting to chat! Join free: http://dating-india.xyz - 500 matches available now"
"spam","Lonely housewife near you wants to connect. Send HI to chat: http://housewife-chat.xyz"
"spam","Find your perfect match today! 10,000+ verified profiles. Join free: http://shaadi-now.xyz - Special offer ends tonight"
"spam","Secret admirer has sent you a message! See who it is: http://secret-crush.xyz/view?id=9876543210"
"spam","Adult entertainment free trial - 1000+ exclusive content library. Register in 2 mins: http://adult-fun.xyz"
"spam","International dating - Connect with girls from UK, USA, Australia. Free registration: http://intl-date.xyz"
"spam","Bored and alone? Meet interesting people tonight! Join our private chat group: http://private-chat.xyz"
"spam","Your profile was viewed 47 times today on our platform. See who viewed you: http://profile-views.xyz"
"spam","Anjali (26, Delhi) wants to be your friend! She says she likes your profile. Chat here: http://anjali-chat.xyz"
"spam","Sexy girls online now! Free chat for first 10 minutes. Join tonight: http://livechat-sexy.xyz"
"spam","100% free matrimonial service. See 1000+ verified bio-data. No broker needed. Join: http://vivah-free.xyz"
"spam","Lonely tonight? Chat with real people nearby. Download app: http://nearby-chat.xyz - Free for 7 days"
"spam","VIDEO CALL with beautiful girls, just Rs.1/minute! Download app now: http://video-girls.xyz"
"spam","A girl from your city has sent you a friend request. Accept here: http://friend-request.xyz?uid=773421"
"spam","ADULTS ONLY: Exclusive content unlocked for you. 3 day free access at: http://exclusive-adult.xyz"
"spam","Sunita from Pune is waiting for your reply. She liked your photo. Message her now: http://sunita-chat.net"
"spam","Find a life partner fast! 50,000+ active users. Premium matchmaking. Joining offer Rs.199 only: http://match-india.xyz"
"spam","Chat with NRI girls settled abroad! Free to join, real verified profiles: http://nri-dating.xyz"
"spam","Dating app with real verified profiles! Meet and date someone special. Free premium trial: http://date-real.xyz"
"spam","Ek baar try karo! Thousands of lonely people are waiting to chat. 100% real profiles. Join: http://real-chat.xyz"
"spam","She sent you a kiss! See who it was: http://flirt-now.xyz?ref=sms You have 24 hours to respond."
"spam","LIVE VIDEO chat with girls now! No registration needed. Free first 5 minutes: http://live-video.xyz"
"spam","Widows/divorcees matrimonial: Find your second chance at happiness. Genuine profiles. Join free: http://second-shaadi.xyz"
"spam","Special adults club - private content for members only. New members get 30% off. Join tonight: http://adults-club.xyz"
"spam","VIRUS DETECTED on your device! Your personal data is at risk. Call Microsoft Support immediately: 1800-999-4521"
"spam","ALERT: Your Android phone has been infected with 3 viruses. Download our security app now: http://android-protect.xyz"
"spam","Your device IP has been flagged for illegal activity. Contact Cyber Cell support: 9988776600 within 2 hours."
"spam","Windows has been blocked! Your computer is hacked. Call helpdesk immediately: 1-800-111-4455 to unlock."
"spam","SECURITY BREACH: Your iCloud account has been accessed from an unknown location. Secure now: http://icloud-secure.xyz"
"spam","Your Google account storage is FULL and data loss is imminent. Upgrade now: http://google-storage.xyz"
"spam","CRITICAL: 5 malware threats found on your phone. Free scan and removal available. Download: http://malware-remove.xyz"
"spam","McAfee License Expired - Your device is now vulnerable to attacks. Renew at special price: http://mcafee-renew.xyz"
"spam","Facebook has detected unusual login to your account. Secure it now: http://fb-secure.net OR call 9090001100"
"spam","Aapke phone mein virus hai! Abhi scan karein aur virus hatayein: http://virus-scan.xyz - Bilkul free!"
"spam","Technical Support: Your laptop has sent critical error codes to our server. Call our certified engineers: 1-800-222-9988"
"spam","Apple: Your Apple ID has been temporarily disabled for security reasons. Unlock at: http://apple-unlock.xyz"
"spam","URGENT: Your Netflix account has been accessed on 3 unrecognized devices. Secure: http://netflix-secure.xyz"
"spam","Device compromised! Someone is reading your WhatsApp messages in real time. Protect yourself: http://wa-protect.xyz"
"spam","Your PC is downloading harmful content right now. Stop immediately - call Microsoft: 1-888-004-5521 NOW!"
"spam","Kaspersky Total Security FREE for 1 year due to major data breach in your area. Download: http://kaspersky-free.xyz"
"spam","Google Play Store Alert: Malicious app detected on your device. Remove immediately: http://play-protect.xyz"
"spam","Your SIM card is being cloned right now! Call your carrier immediately or contact us: 9876001234 to stop it."
"spam","FINAL WARNING: This device will be blocked by TRAI in 24 hours for non-compliance. Call now: 9988001122"
"spam","Truecaller Security Alert: Your phone number has been marked as fraud by users. Clear your name: http://truecaller-clear.xyz"
"spam","HP Laptop warranty expired. Your system is at risk. Extend warranty NOW: http://hp-warranty.xyz or call 1800-333-7788"
"spam","Your Zoom account has been hacked and meetings are being recorded. Change credentials immediately: http://zoom-secure.xyz"
"spam","ALERT: Your phone IMEI is being tracked illegally by an unknown party. Contact us to remove tracking: 9988776600"
"spam","Your email password was leaked in a data breach. Reset immediately at: http://email-reset.xyz to avoid account takeover."
"spam","Quick Heal Alert: 8 critical threats found during background scan. Clean your device now: http://quickheal-clean.xyz"
"spam","Your Instagram account has been reported for violating community guidelines. Verify to avoid permanent ban: http://ig-verify.xyz"
"spam","Facebook Alert: Your account will be permanently disabled in 24 hours. Verify your identity: http://fb-verify.net"
"spam","Twitter: Unusual activity detected on your account. Secure it now: http://twitter-secure.xyz or lose access permanently."
"spam","Your LinkedIn profile has been flagged for suspicious activity. Verify to restore access: http://linkedin-verify.xyz"
"spam","YouTube Studio: Your channel has received a copyright strike. Appeal now to avoid termination: http://yt-appeal.xyz"
"spam","Your WhatsApp account will be deactivated in 48 hours due to ToS violations. Verify: http://wa-verify.xyz"
"spam","Snapchat Security: Your account was accessed from a new device in an unknown location. Review: http://snap-review.xyz"
"spam","Pinterest: Your account has been suspended. Restore access by verifying your email: http://pinterest-restore.xyz"
"spam","Aapka Facebook account kisi aur ne access kiya hai! Turant verify karein: http://fb-secure.xyz"
"spam","TikTok: Your account is under review for prohibited content. Respond within 24h: http://tiktok-appeal.xyz"
"spam","Telegram: Your account has been flagged. Complete verification or your number will be blocked: http://telegram-verify.xyz"
"spam","Instagram: A copyright claim has been made on your recent post. Contest the claim here: http://ig-copyright.xyz"
"spam","Your Twitter Blue subscription will auto-renew at Rs.5,000. Cancel now at: http://twitter-cancel.xyz if you disagree."
"spam","Someone tried to login to your WhatsApp using OTP. Share OTP with us immediately to prevent unauthorized access: 9988001100"
"spam","Facebook ads account suspended. You owe Rs.45,000 in unpaid ad spend. Pay to restore account: http://fb-ads-pay.xyz"
"spam","YouTube: Your monetization has been disabled. Complete verification to restore your earnings: http://yt-monetize.xyz"
"spam","Discord: Your account has been flagged for community guideline violations. Submit your appeal: http://discord-appeal.xyz"
"spam","Instagram Verified badge is now available for your account! Apply now - limited slots available: http://ig-verify-badge.xyz"
"spam","Your Koo account has been reported by multiple users. Verify your identity to continue posting: http://koo-verify.xyz"
"spam","ShareChat: Your account shows unusual activity. Login detected from 3 different devices. Secure: http://sharechat-secure.xyz"
"spam","Moj App: Your video has been taken down for review. To restore, verify your creator account: http://moj-verify.xyz"
"spam","LinkedIn: 50 recruiters viewed your profile this week! Upgrade to premium to see and connect with them: http://linkedin-premium.xyz"
"spam","Someone is impersonating you on Facebook. Report and verify your original account here: http://fb-original.xyz"
"spam","Gmail Alert: Your account storage is 99% full. Verify and receive a free 100GB upgrade instantly: http://gmail-storage.xyz"
"spam","WhatsApp Gold invitation! Upgrade to WhatsApp Gold for exclusive features unavailable on regular app. Join: http://wa-gold.xyz"
"spam","TRAI Notice: Your mobile number will be deactivated in 24 hours. Complete verification immediately: http://trai-verify.xyz"
"spam","Aadhaar Alert: Your Aadhaar card has been misused. Link your mobile to secure it. Call 1947 or visit: http://uidai-link.xyz"
"spam","UPI FRAUD ALERT: Unauthorized transaction of Rs.9,999 attempted on your UPI ID. Block now: http://upi-block.xyz"
"spam","PM Jan Dhan Yojana: You are eligible for Rs.10,000 government benefit. Apply before deadline: http://pmjdy-apply.xyz"
"spam","BSNL: Your SIM card will be blocked permanently due to non-verification of subscriber details. Verify: http://bsnl-verify.xyz"
"spam","UIDAI: Your Aadhaar biometric lock has been disabled remotely. Enable it to prevent misuse: http://aadhaar-lock.xyz"
"spam","Ayushman Bharat: You are eligible for Rs.5 Lakh health cover under PM scheme. Apply by 31st: http://ayushman-apply.xyz"
"spam","PM Kisan Samman Nidhi: Your Rs.2,000 installment is pending. Update bank details at: http://pmkisan-update.xyz"
"spam","Ration card update mandatory! Link Aadhaar to ration card by month end or lose your benefits: http://ration-link.xyz"
"spam","DigiLocker fraud alert! Someone has accessed your stored documents. Secure your account: http://digilocker-secure.xyz"
"spam","TRAI ne aapke number par complaint darj ki hai. 24 ghante mein band hoga. Abhi verify karein: 9090909090"
"spam","PM Ujjwala Yojana: Free LPG cylinder scheme for eligible families. Apply and get 3 free cylinders: http://ujjwala-apply.xyz"
"spam","Your EPFO account shows an unauthorized PF withdrawal attempt. Secure your account: http://epfo-secure.xyz"
"spam","Voter ID mismatch found in electoral rolls. Your vote may be cancelled. Update details immediately: http://voter-update.xyz"
"spam","SIM upgrade offer from Airtel: Upgrade to 5G SIM and get 6 months free data. TRAI verification required: http://airtel-5g.xyz"
"spam","Jio SIM block notice: Due to new TRAI regulation, your Jio SIM will be blocked. Verify now: http://jio-trai.xyz"
"spam","ESIC benefit of Rs.3,500 is pending for you. Claim by linking your Aadhaar to your ESIC account: http://esic-claim.xyz"
"spam","Driving License renewal mandatory for all! Rs.500 penalty if not renewed online by 31st: http://dl-renew.xyz"
"spam","COVID vaccination certificate error found in your CoWIN record. Correct it at: http://cowin-correct.xyz"
"spam","NPCI Alert: Your UPI PIN has been reset from an unrecognized device. Change it immediately: http://npci-upi.xyz"
"spam","Kisan credit card mein problem aa rahi hai. Update karein warna PM scheme se hat jaoge: http://kcc-update.xyz"
"spam","Paytm UPI: Aapka UPI transaction limit reduce kar diya gaya hai. KYC complete karein abhi: http://paytm-upi.xyz"
"spam","Ministry of Health: Your Aadhaar vaccine certificate needs correction for travel purposes. Fix at: http://health-cert.xyz"
"spam","TRAI has suspended your mobile number due to reported misuse. Re-activate by verifying Aadhaar OTP. Call: 9090001122"
"spam","Pradhan Mantri Awas Yojana: Free house scheme - you are eligible! Apply immediately before deadline: http://pmay-apply.xyz"
"ham","Hey, are you free this evening? Was thinking we could catch up for chai somewhere."
"ham","Bhai, kal match dekhne aa raha hai kya? Meri ghar pe gathering hai. Bring some snacks."
"ham","Mom says dinner is at 7. Don't be late again like last Sunday!"
"ham","Happy birthday da! Have a great day. Party kal ho rahi hai na?"
"ham","Yaar, train chhoot gayi meri. Ab auto se aa raha hun. 20 min mein pahunch jaata hun."
"ham","Did you see the new season of Mirzapur? Ekdum mast hai! We need to discuss episode 3."
"ham","Amma nee venuma? Market poga poren, enna venum sollu."
"ham","Call me when you reach home. Getting worried since it is so late."
"ham","Thanks for yesterday! Had so much fun. We should definitely do this more often."
"ham","Bhai mujhe 500 rupees dene hain kya? Paytm kar de, wallet mein hai nahi."
"ham","Are you coming for Pooja's wedding next weekend? Need to confirm attendance to caterers."
"ham","Dude the Wi-Fi at my place is down since morning. Going to cafe to work. Meet there?"
"ham","Macha, inikku eppo varuva? Naan car la pick up pannalam."
"ham","Left my charger at your place yesterday. Can you bring it tomorrow?"
